Timestamp,ESSID,BSSID,Channel,Packets,Power,Privacy,Reason
2025-08-21 11:46:18,Dialog 4G 335,98:A9:42:74:E5:37,7,1203,-54,WPA2,High packet count detected (≥1000) — suspicious activity
2025-08-21 11:50:13,Dialog 4G 335​,98:A9:42:7A:E5:37,7,,-18,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-08-23 00:59:43,Dialog 4G 335​,98:A9:42:7A:E5:37,7,,-18,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-08-25 12:43:49,Dialog 4G 335​,98:A9:42:7A:E5:37,7,,-18,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-08-25 23:39:06,Dialog 4G 335​,98:A9:42:7A:E5:37,7,,-18,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-08-26 10:14:26,Dialog 4G 335,98:A9:42:74:E5:37,7,1203,-54,WPA2,High packet count detected (≥1000) — suspicious activity
2025-08-26 10:15:03,Dialog 4G 335​,98:A9:42:7A:E5:37,7,,-18,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-03 10:40:02,Dialog 4G 335​,98:A9:42:7A:E5:37,7,,-18,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-03T11:54:04-04:00,Dialog 4G 335â,98:A9:42:7B:E5:37,BSSID_MISMATCH,DISCONNECT,98:A9:42:74:E5:37,WPA2-PSK,6,OPEN,11
2025-09-03T11:55:33-04:00,Dialog 4G 335,98:A9:42:74:E5:37,CHANNEL_MISMATCH,DISCONNECT,98:A9:42:74:E5:37,WPA2-PSK,6,WPA2-PSK,11
2025-09-03T12:03:41-04:00,Dialog 4G 335â,98:A9:42:7B:E5:37,BSSID_MISMATCH,DISCONNECT,98:A9:42:74:E5:37,WPA2-PSK,6,OPEN,11
2025-09-03T12:35:05-04:00,Dialog 4G 335â,98:A9:42:7B:E5:37,BSSID_MISMATCH,DISCONNECT,98:A9:42:74:E5:37,WPA2-PSK,6,OPEN,11
2025-09-03T12:42:53-04:00,Dialog 4G 335â,98:A9:42:7B:E5:37,BSSID_MISMATCH,DISCONNECT,98:A9:42:74:E5:37,WPA2-PSK,6,OPEN,11
2025-09-03T12:44:10-04:00,Dialog 4G 335â,98:A9:42:7B:E5:37,BSSID_MISMATCH,DISCONNECT,98:A9:42:74:E5:37,WPA2-PSK,6,OPEN,11
2025-09-03T12:49:42-04:00,Dialog 4G 335â,98:A9:42:7B:E5:37,BSSID_MISMATCH,DISCONNECT,98:A9:42:74:E5:37,WPA2-PSK,6,OPEN,11
2025-09-04T11:42:45-04:00,Dialog 4G 335â,98:A9:42:79:E5:37,BSSID_MISMATCH,DISCONNECT,98:A9:42:74:E5:37,WPA2-PSK,6,OPEN,11
2025-09-04 11:59:48,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-9,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 11:59:48,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-9,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:00:03,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-7,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:00:18,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-47,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:00:33,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-9,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:07:33,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-7,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:07:33,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-7,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:07:49,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-7,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:08:04,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-40,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:08:19,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-8,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:16:55,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-7,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:17:10,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-7,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:28:41,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-47,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04 12:43:04,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-6,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04T12:43:22-04:00,Dialog 4G 335â,98:A9:42:79:E5:37,BSSID_MISMATCH,DISCONNECT,98:A9:42:74:E5:37,WPA2-PSK,6,OPEN,11
2025-09-04 13:03:28,Dialog 4G 335​,98:A9:42:79:E5:37,11,,-7,OPN,Evil Twin: Dialog 4G 335 seen from rogue BSSID (expected 98:A9:42:74:E5:37); Evil Twin: Dialog 4G 335 advertised as OPEN (expected WPA2)
2025-09-04T13:03:44-04:00,Dialog 4G 335â,98:A9:42:79:E5:37,BSSID_MISMATCH,DISCONNECT,98:A9:42:74:E5:37,WPA2-PSK,,OPEN,11
