
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D0:5F:AF:05:6C:B8, 2025-09-28 07:29:55, 2025-09-28 07:31:01, 11, 130, WPA2, CCMP TKIP, PSK, -50,      436,       20,   0.  0.  0.  0,  16, MITM Attack Test, 
D0:5F:AF:05:6C:B9, 2025-09-28 07:29:55, 2025-09-28 07:31:01, 11, 270, WPA2, CCMP TKIP, PSK, -49,      441,        0,   0.  0.  0.  0,   6, , 
98:A9:42:AB:45:21, 2025-09-28 07:29:56, 2025-09-28 07:31:01,  8, 130, WPA2, CCMP, PSK, -47,      276,        0,   0.  0.  0.  0,   8, FNTPLAYZ, 
98:A9:42:74:E5:37, 2025-09-28 07:29:59, 2025-09-28 07:31:01, 11, 130, WPA2, CCMP, PSK, -85,       19,        2,   0.  0.  0.  0,  13, Dialog 4G 335, 
84:F7:03:91:D7:7F, 2025-09-28 07:29:59, 2025-09-28 07:30:52, 11, 135, OPN, ,   , -71,       16,        0,   0.  0.  0.  0,  15, Wifi_SRX8R5RUPN, 
D8:D8:66:4D:DA:62, 2025-09-28 07:30:00, 2025-09-28 07:30:18, 11, 130, WPA2, CCMP, PSK, -87,        3,        0,   0.  0.  0.  0,  13, Dialog 4G 658, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
3E:29:7B:C0:E0:EA, 2025-09-28 07:29:56, 2025-09-28 07:31:00, -65,      102, 98:A9:42:AB:45:21,
82:83:9A:79:50:F9, 2025-09-28 07:29:57, 2025-09-28 07:29:57, -47,        2, (not associated) ,
DA:A1:19:27:72:FD, 2025-09-28 07:29:57, 2025-09-28 07:29:57, -89,        1, (not associated) ,
D6:56:97:FE:B5:40, 2025-09-28 07:29:57, 2025-09-28 07:30:03, -45,       27, D0:5F:AF:05:6C:B8,MITM Attack Test
AA:76:09:D0:C0:BB, 2025-09-28 07:29:57, 2025-09-28 07:29:57, -45,        2, (not associated) ,
92:C4:8D:F2:74:BC, 2025-09-28 07:29:58, 2025-09-28 07:29:58, -30,        2, (not associated) ,
86:C1:B9:49:DD:B8, 2025-09-28 07:29:59, 2025-09-28 07:29:59, -49,        1, (not associated) ,
96:C7:4C:D9:20:36, 2025-09-28 07:29:59, 2025-09-28 07:31:01, -87,      407, 98:A9:42:74:E5:37,Dialog 4G 335
A6:6E:85:84:C2:67, 2025-09-28 07:30:01, 2025-09-28 07:30:02, -35,        2, (not associated) ,
10:6F:D9:A6:AD:85, 2025-09-28 07:30:08, 2025-09-28 07:30:45, -49,        4, 98:A9:42:74:E5:37,
B6:35:39:D6:66:5D, 2025-09-28 07:30:23, 2025-09-28 07:30:23, -34,        2, (not associated) ,
1A:20:89:24:8B:B5, 2025-09-28 07:30:23, 2025-09-28 07:30:23, -70,        1, (not associated) ,
7A:01:FA:18:38:85, 2025-09-28 07:30:23, 2025-09-28 07:30:23, -77,        2, (not associated) ,
9A:E5:62:72:B8:18, 2025-09-28 07:30:23, 2025-09-28 07:30:23, -34,        2, (not associated) ,
C2:D9:DB:C8:5E:2D, 2025-09-28 07:30:23, 2025-09-28 07:30:23, -43,        1, (not associated) ,
A6:E4:05:43:FC:22, 2025-09-28 07:30:23, 2025-09-28 07:30:23, -31,        2, (not associated) ,
7E:39:E4:14:47:FD, 2025-09-28 07:30:24, 2025-09-28 07:30:24, -31,        2, (not associated) ,
FA:2C:B8:E8:82:B4, 2025-09-28 07:30:24, 2025-09-28 07:30:24, -29,        2, (not associated) ,
96:7F:EF:C1:60:BB, 2025-09-28 07:30:25, 2025-09-28 07:30:25, -76,        1, (not associated) ,
CE:5B:92:24:79:73, 2025-09-28 07:30:25, 2025-09-28 07:30:25, -30,        1, (not associated) ,
1E:D3:55:A7:A7:47, 2025-09-28 07:30:25, 2025-09-28 07:30:25, -29,        2, (not associated) ,
FE:BA:07:0A:8B:0C, 2025-09-28 07:30:25, 2025-09-28 07:30:25, -30,        2, (not associated) ,
B6:63:96:E9:0F:9B, 2025-09-28 07:30:35, 2025-09-28 07:30:35, -51,        1, (not associated) ,
5A:5A:23:03:3E:83, 2025-09-28 07:30:35, 2025-09-28 07:30:35, -78,        1, (not associated) ,
16:B5:B8:8B:D0:21, 2025-09-28 07:30:35, 2025-09-28 07:30:35, -36,        2, (not associated) ,
E2:32:02:77:0D:29, 2025-09-28 07:30:36, 2025-09-28 07:30:36, -32,        2, (not associated) ,
66:A5:08:CF:9A:C3, 2025-09-28 07:30:36, 2025-09-28 07:30:36, -81,        1, (not associated) ,
22:05:45:9A:CF:3B, 2025-09-28 07:30:36, 2025-09-28 07:30:36, -33,        1, (not associated) ,
6E:29:5E:B6:9D:DF, 2025-09-28 07:30:36, 2025-09-28 07:30:36, -38,        2, (not associated) ,
92:BF:85:E2:71:A8, 2025-09-28 07:30:36, 2025-09-28 07:30:36, -42,        2, (not associated) ,
EA:BF:49:66:89:97, 2025-09-28 07:30:42, 2025-09-28 07:30:42, -84,        1, (not associated) ,
10:6F:D9:A6:AD:B9, 2025-09-28 07:30:42, 2025-09-28 07:30:43, -40,       35, (not associated) ,TnNxoxo
96:47:55:20:38:15, 2025-09-28 07:30:44, 2025-09-28 07:30:44, -28,        1, (not associated) ,
46:BF:87:9A:1C:37, 2025-09-28 07:30:44, 2025-09-28 07:30:44, -31,        1, (not associated) ,
6E:81:41:BF:E5:E6, 2025-09-28 07:30:44, 2025-09-28 07:30:44, -76,        1, (not associated) ,
2A:6C:C6:2D:02:B5, 2025-09-28 07:30:44, 2025-09-28 07:30:44, -27,        2, (not associated) ,
52:35:7D:71:EB:D4, 2025-09-28 07:30:45, 2025-09-28 07:30:45, -29,        1, (not associated) ,
82:90:D6:30:FF:87, 2025-09-28 07:30:45, 2025-09-28 07:30:45, -30,        2, (not associated) ,
72:AC:09:FB:A3:BD, 2025-09-28 07:30:45, 2025-09-28 07:30:45, -30,        2, (not associated) ,
F6:42:EE:79:13:09, 2025-09-28 07:30:46, 2025-09-28 07:30:46, -28,        2, (not associated) ,
8A:AF:FF:77:9C:D1, 2025-09-28 07:30:46, 2025-09-28 07:30:46, -75,        1, (not associated) ,
F6:FF:CA:FA:3F:27, 2025-09-28 07:30:46, 2025-09-28 07:30:46, -27,        2, (not associated) ,
06:06:0C:2F:74:81, 2025-09-28 07:30:50, 2025-09-28 07:30:50, -38,        2, (not associated) ,
EE:88:FD:47:11:BE, 2025-09-28 07:30:50, 2025-09-28 07:30:50, -45,        1, (not associated) ,
