
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
98:A9:42:74:E5:37, 2025-09-28 07:36:42, 2025-09-28 07:37:39, 11, 130, WPA2, CCMP, PSK, -46,       22,        0,   0.  0.  0.  0,  13, Dialog 4G 335, 
D0:5F:AF:05:6C:B8, 2025-09-28 07:36:42, 2025-09-28 07:37:47, 11, 130, WPA2, CCMP TKIP, PSK, -46,      431,       22,   0.  0.  0.  0,  16, MITM Attack Test, 
98:A9:42:AB:45:21, 2025-09-28 07:36:43, 2025-09-28 07:37:47,  8, 130, WPA2, CCMP, PSK, -48,      233,        1,   0.  0.  0.  0,   8, FNTPLAYZ, 
D0:5F:AF:05:6C:B9, 2025-09-28 07:36:43, 2025-09-28 07:37:47, 11, 270, WPA2, CCMP TKIP, PSK, -49,      418,        0,   0.  0.  0.  0,   6, , 
84:F7:03:91:D7:7F, 2025-09-28 07:36:46, 2025-09-28 07:37:39, 11, 135, OPN, ,   , -72,       17,        0,   0.  0.  0.  0,  15, Wifi_SRX8R5RUPN, 
D8:D8:66:4D:DA:62, 2025-09-28 07:37:04, 2025-09-28 07:37:04, 11, 130, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,  13, Dialog 4G 658, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
96:C7:4C:D9:20:36, 2025-09-28 07:36:42, 2025-09-28 07:37:39, -48,      649, 98:A9:42:74:E5:37,Dialog 4G 335
10:6F:D9:A6:AD:B9, 2025-09-28 07:36:43, 2025-09-28 07:37:42, -46,       46, (not associated) ,TnNxoxo
3E:29:7B:C0:E0:EA, 2025-09-28 07:36:44, 2025-09-28 07:37:29, -70,       27, 98:A9:42:AB:45:21,
80:54:9C:7C:0F:D9, 2025-09-28 07:36:50, 2025-09-28 07:37:31, -75,       26, (not associated) ,
10:6F:D9:A6:AD:85, 2025-09-28 07:36:50, 2025-09-28 07:37:32, -50,      130, D0:5F:AF:05:6C:B8,
CE:E2:37:B3:FC:5A, 2025-09-28 07:36:51, 2025-09-28 07:36:51, -32,        1, (not associated) ,
9A:21:56:49:42:17, 2025-09-28 07:36:51, 2025-09-28 07:36:51, -32,        2, (not associated) ,
3A:F4:D7:DA:D3:2E, 2025-09-28 07:36:52, 2025-09-28 07:36:52, -30,        1, (not associated) ,
BA:96:78:9D:F3:46, 2025-09-28 07:36:52, 2025-09-28 07:36:52, -40,        1, (not associated) ,
BE:99:71:FE:4B:09, 2025-09-28 07:36:52, 2025-09-28 07:36:52, -30,        2, (not associated) ,
9A:8E:5D:DC:5A:E5, 2025-09-28 07:36:53, 2025-09-28 07:36:53, -31,        2, (not associated) ,
6A:01:8E:81:15:C8, 2025-09-28 07:36:53, 2025-09-28 07:36:53, -27,        2, (not associated) ,
2A:96:0B:B5:86:BD, 2025-09-28 07:36:54, 2025-09-28 07:36:54, -29,        2, (not associated) ,
60:FF:12:10:58:C5, 2025-09-28 07:36:55, 2025-09-28 07:36:55, -66,        5, (not associated) ,
66:F4:E4:FD:5B:42, 2025-09-28 07:36:57, 2025-09-28 07:36:57, -32,        1, (not associated) ,
E6:FE:98:02:DD:A3, 2025-09-28 07:36:57, 2025-09-28 07:36:58, -40,        2, (not associated) ,
82:60:25:1A:EE:59, 2025-09-28 07:36:58, 2025-09-28 07:36:58, -31,        2, (not associated) ,
12:33:F0:61:61:FE, 2025-09-28 07:36:58, 2025-09-28 07:36:58, -30,        2, (not associated) ,
EE:80:BD:F5:69:F1, 2025-09-28 07:36:58, 2025-09-28 07:36:58, -32,        2, (not associated) ,
62:69:75:37:E2:AA, 2025-09-28 07:36:59, 2025-09-28 07:36:59, -31,        2, (not associated) ,
AE:5A:71:2E:8F:8E, 2025-09-28 07:36:59, 2025-09-28 07:36:59, -27,        2, (not associated) ,
DE:43:77:0C:65:D3, 2025-09-28 07:36:59, 2025-09-28 07:36:59, -30,        2, (not associated) ,
7A:0D:F3:7D:D8:CA, 2025-09-28 07:37:03, 2025-09-28 07:37:03, -26,        2, (not associated) ,
52:A1:B2:AE:25:24, 2025-09-28 07:37:03, 2025-09-28 07:37:03, -37,        2, (not associated) ,
2E:89:C7:B0:11:BF, 2025-09-28 07:37:03, 2025-09-28 07:37:03, -28,        2, (not associated) ,
7A:71:4D:7C:4C:CF, 2025-09-28 07:37:03, 2025-09-28 07:37:03, -42,        1, (not associated) ,
0A:B5:C6:37:E1:55, 2025-09-28 07:37:04, 2025-09-28 07:37:04, -30,        2, (not associated) ,
0E:44:2B:63:92:2F, 2025-09-28 07:37:05, 2025-09-28 07:37:05, -28,        2, (not associated) ,
52:91:D1:93:C7:08, 2025-09-28 07:37:08, 2025-09-28 07:37:08, -30,        2, (not associated) ,
92:1E:AE:E9:8D:82, 2025-09-28 07:37:08, 2025-09-28 07:37:08, -32,        2, (not associated) ,
2E:63:2B:6F:F2:4E, 2025-09-28 07:37:08, 2025-09-28 07:37:08, -36,        1, (not associated) ,
8E:55:8A:2B:A4:39, 2025-09-28 07:37:09, 2025-09-28 07:37:09, -48,        1, (not associated) ,
3E:91:88:60:66:11, 2025-09-28 07:37:09, 2025-09-28 07:37:09, -30,        2, (not associated) ,
66:CA:DB:90:91:78, 2025-09-28 07:37:09, 2025-09-28 07:37:09, -39,        2, (not associated) ,
AE:AD:BA:FC:BF:55, 2025-09-28 07:37:09, 2025-09-28 07:37:09, -74,        1, (not associated) ,
0E:1E:B2:A9:1F:6C, 2025-09-28 07:37:09, 2025-09-28 07:37:09, -78,        1, (not associated) ,
52:4C:A5:BD:B8:69, 2025-09-28 07:37:10, 2025-09-28 07:37:10, -28,        2, (not associated) ,
AE:56:F3:9C:86:F9, 2025-09-28 07:37:13, 2025-09-28 07:37:13, -29,        2, (not associated) ,
F6:45:49:BA:43:DE, 2025-09-28 07:37:13, 2025-09-28 07:37:13, -31,        1, (not associated) ,
12:A8:43:EC:23:3D, 2025-09-28 07:37:13, 2025-09-28 07:37:13, -31,        2, (not associated) ,
BA:D5:CC:59:5C:CE, 2025-09-28 07:37:13, 2025-09-28 07:37:13, -44,        1, (not associated) ,
6E:89:1C:A5:F4:9C, 2025-09-28 07:37:13, 2025-09-28 07:37:13, -29,        2, (not associated) ,
A2:0F:0B:9D:A6:66, 2025-09-28 07:37:13, 2025-09-28 07:37:13, -31,        1, (not associated) ,
DE:42:09:30:85:31, 2025-09-28 07:37:14, 2025-09-28 07:37:14, -28,        2, (not associated) ,
36:84:CE:D3:FA:1F, 2025-09-28 07:37:14, 2025-09-28 07:37:14, -29,        2, (not associated) ,
DA:F4:82:AA:4B:92, 2025-09-28 07:37:14, 2025-09-28 07:37:14, -31,        2, (not associated) ,
D6:15:6F:95:C0:C7, 2025-09-28 07:37:17, 2025-09-28 07:37:17, -31,        2, (not associated) ,
E6:CE:3A:B3:FB:CC, 2025-09-28 07:37:18, 2025-09-28 07:37:18, -79,        1, (not associated) ,
66:55:6E:84:20:4E, 2025-09-28 07:37:18, 2025-09-28 07:37:18, -31,        1, (not associated) ,
8E:F4:19:D2:1A:F1, 2025-09-28 07:37:18, 2025-09-28 07:37:18, -29,        1, (not associated) ,
F2:0F:44:FA:6A:19, 2025-09-28 07:37:20, 2025-09-28 07:37:20, -30,        1, (not associated) ,
12:B0:45:05:FA:FE, 2025-09-28 07:37:20, 2025-09-28 07:37:20, -29,        2, (not associated) ,
F2:4F:E7:FD:D2:C8, 2025-09-28 07:37:20, 2025-09-28 07:37:20, -28,        1, (not associated) ,
82:E4:D4:BC:4B:5F, 2025-09-28 07:37:20, 2025-09-28 07:37:20, -29,        2, (not associated) ,
1A:31:D2:A2:1B:D7, 2025-09-28 07:37:23, 2025-09-28 07:37:23, -31,        2, (not associated) ,
2E:D1:6A:B8:C4:D4, 2025-09-28 07:37:23, 2025-09-28 07:37:23, -74,        1, (not associated) ,
8A:66:BB:99:C2:A6, 2025-09-28 07:37:24, 2025-09-28 07:37:24, -28,        2, (not associated) ,
2A:8E:E4:DC:6D:A1, 2025-09-28 07:37:24, 2025-09-28 07:37:24, -30,        1, (not associated) ,
C2:D1:0B:8B:8D:13, 2025-09-28 07:37:24, 2025-09-28 07:37:24, -31,        2, (not associated) ,
A6:B1:4F:81:88:12, 2025-09-28 07:37:24, 2025-09-28 07:37:24, -37,        2, (not associated) ,
5E:82:78:DB:A3:9F, 2025-09-28 07:37:25, 2025-09-28 07:37:25, -29,        2, (not associated) ,
0E:12:10:FD:B0:86, 2025-09-28 07:37:25, 2025-09-28 07:37:25, -31,        2, (not associated) ,
02:67:24:BA:BC:2C, 2025-09-28 07:37:26, 2025-09-28 07:37:26, -32,        2, (not associated) ,
22:26:3B:F7:30:AB, 2025-09-28 07:37:29, 2025-09-28 07:37:29, -31,        2, (not associated) ,
3E:5F:27:B5:40:D2, 2025-09-28 07:37:29, 2025-09-28 07:37:29, -29,        2, (not associated) ,
1E:D4:A9:F8:6C:CD, 2025-09-28 07:37:29, 2025-09-28 07:37:29, -43,        2, (not associated) ,
CA:D2:F5:2D:1A:92, 2025-09-28 07:37:29, 2025-09-28 07:37:29, -32,        2, (not associated) ,
6A:8F:E2:4F:CA:6D, 2025-09-28 07:37:29, 2025-09-28 07:37:30, -32,        2, (not associated) ,
0E:28:E7:DF:5A:71, 2025-09-28 07:37:30, 2025-09-28 07:37:30, -28,        1, (not associated) ,
CE:F4:5F:0C:AC:A7, 2025-09-28 07:37:32, 2025-09-28 07:37:32, -31,        2, (not associated) ,
E6:CF:1E:C0:5F:4C, 2025-09-28 07:37:32, 2025-09-28 07:37:32, -30,        2, (not associated) ,
72:60:43:8C:09:AA, 2025-09-28 07:37:33, 2025-09-28 07:37:33, -39,        2, (not associated) ,
6A:AF:B6:D8:07:F2, 2025-09-28 07:37:36, 2025-09-28 07:37:36, -29,        1, (not associated) ,
4A:5F:C2:2A:4F:C2, 2025-09-28 07:37:36, 2025-09-28 07:37:36, -44,        2, (not associated) ,
7E:9E:CF:A4:1C:F3, 2025-09-28 07:37:37, 2025-09-28 07:37:37, -30,        1, (not associated) ,
4A:B5:CD:9A:F1:1D, 2025-09-28 07:37:37, 2025-09-28 07:37:37, -28,        2, (not associated) ,
2E:FA:25:B0:73:9E, 2025-09-28 07:37:41, 2025-09-28 07:37:41, -71,        2, (not associated) ,
6E:AF:F2:07:E7:D6, 2025-09-28 07:37:41, 2025-09-28 07:37:41, -35,        1, (not associated) ,
1E:44:06:97:8E:CE, 2025-09-28 07:37:41, 2025-09-28 07:37:41, -78,        1, (not associated) ,
16:3A:8A:BB:38:8F, 2025-09-28 07:37:41, 2025-09-28 07:37:41, -44,        2, (not associated) ,
D6:FC:2B:1F:95:C8, 2025-09-28 07:37:41, 2025-09-28 07:37:41, -26,        2, (not associated) ,
72:60:6E:93:A6:8B, 2025-09-28 07:37:41, 2025-09-28 07:37:41, -36,        2, (not associated) ,
E6:45:51:35:DF:E4, 2025-09-28 07:37:41, 2025-09-28 07:37:41, -36,        2, (not associated) ,

