
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D8:D8:66:52:3D:04, 2025-09-09 07:43:32, 2025-09-09 07:44:33, 10, 130, WPA2, CCMP, PSK, -84,        2,        1,   0.  0.  0.  0,   6, pesaRa, 
80:F7:A6:B9:CE:54, 2025-09-09 07:43:32, 2025-09-09 07:44:23,  1, 270, WPA2, CCMP TKIP, PSK, -45,       14,       24,   0.  0.  0.  0,   7, , 
D0:5F:AF:05:6C:B9, 2025-09-09 07:43:32, 2025-09-09 07:44:35, 11, 270, WPA2, CCMP TKIP, PSK, -46,       51,        0,   0.  0.  0.  0,   6, , 
80:F7:A6:B9:CE:55, 2025-09-09 07:43:32, 2025-09-09 07:44:28,  1, 270, WPA2, CCMP TKIP, PSK, -78,       20,        0,   0.  0.  0.  0,   6, , 
D0:5F:AF:05:6C:B8, 2025-09-09 07:43:32, 2025-09-09 07:44:35, 11, 130, WPA2, CCMP TKIP, PSK, -46,       53,      194,   0.  0.  0.  0,  16, MITM Attack Test, 
88:D2:74:DB:8C:14, 2025-09-09 07:43:33, 2025-09-09 07:43:33,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -83,        1,        0,   0.  0.  0.  0,   9, SLT_FIBRE, 
98:A9:42:74:E5:37, 2025-09-09 07:43:34, 2025-09-09 07:44:34,  7, 130, WPA2, CCMP, PSK, -41,       16,        0,   0.  0.  0.  0,  13, Dialog 4G 335, 
98:A9:42:7F:E5:37, 2025-09-09 07:43:34, 2025-09-09 07:44:34,  7,  65, OPN, ,   , -39,       15,        0,   0.  0.  0.  0,  16, Dialog 4G 335​, 
84:F7:03:91:D7:7F, 2025-09-09 07:43:34, 2025-09-09 07:44:34,  7, 135, OPN, ,   , -63,        8,        0,   0.  0.  0.  0,  15, Wifi_SRX8R5RUPN, 
D8:D8:66:4D:DA:62, 2025-09-09 07:43:34, 2025-09-09 07:44:34,  6, 130, WPA2, CCMP, PSK, -82,        4,        0,   0.  0.  0.  0,  13, Dialog 4G 658, 
A6:36:C7:0A:DC:82, 2025-09-09 07:43:38, 2025-09-09 07:44:24,  8,  65, WPA2, CCMP, PSK, -85,        2,        0,   0.  0.  0.  0,   0, , 
98:A9:42:0B:07:81, 2025-09-09 07:43:44, 2025-09-09 07:44:30, 10, 130, WPA2, CCMP, PSK, -86,        2,        0,   0.  0.  0.  0,  13, Dialog 4G 921, 
80:F7:A6:B9:CE:50, 2025-09-09 07:43:50, 2025-09-09 07:44:36, 36, 866, WPA2, CCMP TKIP, PSK, -52,        8,        0,   0.  0.  0.  0,   7, , 
D0:5F:AF:05:6C:B4, 2025-09-09 07:44:12, 2025-09-09 07:44:12, 149, 866, WPA2, CCMP TKIP, PSK, -61,        5,        0,   0.  0.  0.  0,   4, 0day, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
8A:AB:46:E9:07:12, 2025-09-09 07:43:33, 2025-09-09 07:44:21, -59,       35, 80:F7:A6:B9:CE:54,
9A:7C:F9:01:E0:23, 2025-09-09 07:43:33, 2025-09-09 07:43:33, -73,        2, (not associated) ,
9A:74:94:A4:B6:55, 2025-09-09 07:43:34, 2025-09-09 07:43:34, -70,        2, (not associated) ,
BE:1D:A8:4A:F3:BA, 2025-09-09 07:44:21, 2025-09-09 07:44:33, -29,       19, D0:5F:AF:05:6C:B8,
10:6F:D9:A6:AD:85, 2025-09-09 07:44:26, 2025-09-09 07:44:33, -27,      178, D0:5F:AF:05:6C:B8,
84:9D:C2:88:14:00, 2025-09-09 07:44:33, 2025-09-09 07:44:33, -76,        1, D8:D8:66:52:3D:04,

